Title;Synopsis;Début du projet;Fin du projet;Visuel;Nature;Budget;Catégorie;link.text;link.url;Owner;Year
Transformers: Revenge of the Fallen ;;;01/01/2009;;MOVIE;200000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1;public;2009
Transformers: Age of Extinction ;;;01/01/2014;;MOVIE;210000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1;public;2014
Oz the Great and Powerful ;;;01/01/2013;;MOVIE;215000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1;public;2013
The Amazing Spider-Man 2 ;;;01/01/2014;;MOVIE;200000000;Action|Adventure|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1;public;2014
TRON: Legacy ;;;01/01/2010;;MOVIE;170000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1;public;2010
Cars 2 ;;;01/01/2011;;MOVIE;200000000;Adventure|Animation|Comedy|Family|Sport;IMDB;http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1;public;2011
Green Lantern ;;;01/01/2011;;MOVIE;200000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1;public;2011
Toy Story 3 ;;;01/01/2010;;MOVIE;200000000;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1;public;2010
Terminator Salvation ;;;01/01/2009;;MOVIE;200000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1;public;2009
Furious 7 ;;;01/01/2015;;MOVIE;190000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1;public;2015
World War Z ;;;01/01/2013;;MOVIE;190000000;Action|Adventure|Horror|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1;public;2013
X-Men: Days of Future Past ;;;01/01/2014;;MOVIE;200000000;Action|Adventure|Fantasy|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1;public;2014
Star Trek Into Darkness ;;;01/01/2013;;MOVIE;190000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1;public;2013
Jack the Giant Slayer ;;;01/01/2013;;MOVIE;195000000;Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1;public;2013
The Great Gatsby ;;;01/01/2013;;MOVIE;105000000;Drama|Romance;IMDB;http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1;public;2013
Prince of Persia: The Sands of Time ;;;01/01/2010;;MOVIE;200000000;Action|Adventure|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1;public;2010
Pacific Rim ;;;01/01/2013;;MOVIE;190000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1;public;2013
Transformers: Dark of the Moon ;;;01/01/2011;;MOVIE;195000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1;public;2011
Indiana Jones and the Kingdom of the Crystal Skull ;;;01/01/2008;;MOVIE;185000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1;public;2008
The Good Dinosaur ;;;01/01/2015;;MOVIE;;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1;public;2015
Brave ;;;01/01/2012;;MOVIE;185000000;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1;public;2012
Star Trek Beyond ;;;01/01/2016;;MOVIE;185000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1;public;2016
WALL·E ;;;01/01/2008;;MOVIE;180000000;Adventure|Animation|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1;public;2008
Rush Hour 3 ;;;01/01/2007;;MOVIE;140000000;Action|Comedy|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1;public;2007
2012 ;;;01/01/2009;;MOVIE;200000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1;public;2009
A Christmas Carol ;;;01/01/2009;;MOVIE;200000000;Animation|Drama|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1;public;2009
Jupiter Ascending ;;;01/01/2015;;MOVIE;176000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1;public;2015
The Legend of Tarzan ;;;01/01/2016;;MOVIE;180000000;Action|Adventure|Drama|Romance;IMDB;http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1;public;2016
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;;;01/01/2005;;MOVIE;180000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1;public;2005
X-Men: Apocalypse ;;;01/01/2016;;MOVIE;178000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1;public;2016
The Dark Knight ;;;01/01/2008;;MOVIE;185000000;Action|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1;public;2008
Up ;;;01/01/2009;;MOVIE;175000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1;public;2009
Monsters vs. Aliens ;;;01/01/2009;;MOVIE;175000000;Action|Adventure|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1;public;2009
Iron Man ;;;01/01/2008;;MOVIE;140000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1;public;2008
Hugo ;;;01/01/2011;;MOVIE;170000000;Adventure|Drama|Family|Mystery;IMDB;http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1;public;2011
Wild Wild West ;;;01/01/1999;;MOVIE;170000000;Action|Comedy|Sci-Fi|Western;IMDB;http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1;public;1999
The Mummy: Tomb of the Dragon Emperor ;;;01/01/2008;;MOVIE;145000000;Action|Adventure|Fantasy|Horror|Thriller;IMDB;http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1;public;2008
Suicide Squad ;;;01/01/2016;;MOVIE;175000000;Action|Adventure|Comedy|Sci-Fi;IMDB;http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1;public;2016
Evan Almighty ;;;01/01/2007;;MOVIE;175000000;Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1;public;2007
Edge of Tomorrow ;;;01/01/2014;;MOVIE;178000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1;public;2014
Waterworld ;;;01/01/1995;;MOVIE;175000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1;public;1995
G.I. Joe: The Rise of Cobra ;;;01/01/2009;;MOVIE;175000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1;public;2009
Inside Out ;;;01/01/2015;;MOVIE;175000000;Adventure|Animation|Comedy|Drama|Family|Fantasy;IMDB;http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1;public;2015
The Jungle Book ;;;01/01/2016;;MOVIE;175000000;Adventure|Drama|Family|Fantasy;IMDB;http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1;public;2016
Iron Man 2 ;;;01/01/2010;;MOVIE;200000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1;public;2010
Snow White and the Huntsman ;;;01/01/2012;;MOVIE;170000000;Action|Adventure|Drama|Fantasy;IMDB;http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1;public;2012
Maleficent ;;;01/01/2014;;MOVIE;180000000;Action|Adventure|Family|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1;public;2014
Dawn of the Planet of the Apes ;;;01/01/2014;;MOVIE;170000000;Action|Adventure|Drama|Sci-Fi;IMDB;http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1;public;2014
The Lovers ;;;01/01/2015;;MOVIE;;Action|Adventure|Romance|Sci-Fi;IMDB;http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1;public;2015
47 Ronin ;;;01/01/2013;;MOVIE;175000000;Action|Adventure|Drama|Fantasy;IMDB;http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1;public;2013
Captain America: The Winter Soldier ;;;01/01/2014;;MOVIE;170000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1;public;2014
Shrek Forever After ;;;01/01/2010;;MOVIE;165000000;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1;public;2010
Tomorrowland ;;;01/01/2015;;MOVIE;190000000;Action|Adventure|Family|Mystery|Sci-Fi;IMDB;http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1;public;2015
Big Hero 6 ;;;01/01/2014;;MOVIE;165000000;Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1;public;2014
Wreck-It Ralph ;;;01/01/2012;;MOVIE;165000000;Adventure|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1;public;2012
The Polar Express ;;;01/01/2004;;MOVIE;165000000;Adventure|Animation|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1;public;2004
Independence Day: Resurgence ;;;01/01/2016;;MOVIE;165000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1;public;2016
How to Train Your Dragon ;;;01/01/2010;;MOVIE;165000000;Adventure|Animation|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1;public;2010
Terminator 3: Rise of the Machines ;;;01/01/2003;;MOVIE;200000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1;public;2003
Guardians of the Galaxy ;;;01/01/2014;;MOVIE;170000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1;public;2014
Interstellar ;;;01/01/2014;;MOVIE;165000000;Adventure|Drama|Sci-Fi;IMDB;http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1;public;2014
Inception ;;;01/01/2010;;MOVIE;160000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1;public;2010
Godzilla Resurgence ;;;01/01/2016;;MOVIE;;Action|Adventure|Drama|Horror|Sci-Fi;IMDB;http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1;public;2016
The Hobbit: An Unexpected Journey ;;;01/01/2012;;MOVIE;180000000;Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1;public;2012
The Fast and the Furious ;;;01/01/2001;;MOVIE;38000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1;public;2001
The Curious Case of Benjamin Button ;;;01/01/2008;;MOVIE;150000000;Drama|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1;public;2008
X-Men: First Class ;;;01/01/2011;;MOVIE;160000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1;public;2011
The Hunger Games: Mockingjay - Part 2 ;;;01/01/2015;;MOVIE;160000000;Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1;public;2015
The Sorcerer's Apprentice ;;;01/01/2010;;MOVIE;150000000;Action|Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1;public;2010
Poseidon ;;;01/01/2006;;MOVIE;160000000;Action|Adventure|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1;public;2006
Alice Through the Looking Glass ;;;01/01/2016;;MOVIE;170000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1;public;2016
Shrek the Third ;;;01/01/2007;;MOVIE;160000000;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1;public;2007
Warcraft ;;;01/01/2016;;MOVIE;160000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1;public;2016
Terminator Genisys ;;;01/01/2015;;MOVIE;155000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1;public;2015
The Chronicles of Narnia: The Voyage of the Dawn Treader ;;;01/01/2010;;MOVIE;155000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1;public;2010
Pearl Harbor ;;;01/01/2001;;MOVIE;140000000;Action|Drama|History|Romance|War;IMDB;http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1;public;2001
Transformers ;;;01/01/2007;;MOVIE;150000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1;public;2007
Alexander ;;;01/01/2004;;MOVIE;155000000;Action|Adventure|Biography|Drama|History|Romance|War;IMDB;http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1;public;2004
Harry Potter and the Order of the Phoenix ;;;01/01/2007;;MOVIE;150000000;Adventure|Family|Fantasy|Mystery;IMDB;http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1;public;2007
Harry Potter and the Goblet of Fire ;;;01/01/2005;;MOVIE;150000000;Adventure|Family|Fantasy|Mystery;IMDB;http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1;public;2005
Hancock ;;;01/01/2008;;MOVIE;150000000;Action|Drama;IMDB;http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1;public;2008
I Am Legend ;;;01/01/2007;;MOVIE;150000000;Drama|Horror|Sci-Fi;IMDB;http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1;public;2007
Charlie and the Chocolate Factory ;;;01/01/2005;;MOVIE;150000000;Adventure|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1;public;2005
Ratatouille ;;;01/01/2007;;MOVIE;150000000;Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1;public;2007
Batman Begins ;;;01/01/2005;;MOVIE;150000000;Action|Adventure;IMDB;http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1;public;2005
Madagascar: Escape 2 Africa ;;;01/01/2008;;MOVIE;150000000;Action|Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1;public;2008
Night at the Museum: Battle of the Smithsonian ;;;01/01/2009;;MOVIE;150000000;Adventure|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1;public;2009
X-Men Origins: Wolverine ;;;01/01/2009;;MOVIE;150000000;Action|Adventure|Fantasy|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1;public;2009
The Matrix Revolutions ;;;01/01/2003;;MOVIE;150000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1;public;2003
Frozen ;;;01/01/2013;;MOVIE;150000000;Adventure|Animation|Comedy|Family|Fantasy|Musical;IMDB;http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1;public;2013
The Matrix Reloaded ;;;01/01/2003;;MOVIE;150000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1;public;2003
Thor: The Dark World ;;;01/01/2013;;MOVIE;170000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1;public;2013
Mad Max: Fury Road ;;;01/01/2015;;MOVIE;150000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1;public;2015
Angels & Demons ;;;01/01/2009;;MOVIE;150000000;Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1;public;2009
Thor ;;;01/01/2011;;MOVIE;150000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1;public;2011
Bolt ;;;01/01/2008;;MOVIE;150000000;Adventure|Animation|Comedy|Drama|Family;IMDB;http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1;public;2008
G-Force ;;;01/01/2009;;MOVIE;150000000;Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1;public;2009
Wrath of the Titans ;;;01/01/2012;;MOVIE;150000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1;public;2012
Dark Shadows ;;;01/01/2012;;MOVIE;100000000;Comedy|Fantasy|Horror;IMDB;http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1;public;2012
Mission: Impossible - Rogue Nation ;;;01/01/2015;;MOVIE;150000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1;public;2015
The Wolfman ;;;01/01/2010;;MOVIE;150000000;Drama|Fantasy|Horror|Thriller;IMDB;http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1;public;2010
The Legend of Tarzan ;;;01/01/2016;;MOVIE;180000000;Action|Adventure|Drama|Romance;IMDB;http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1;public;2016
Bee Movie ;;;01/01/2007;;MOVIE;150000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1;public;2007
Kung Fu Panda 2 ;;;01/01/2011;;MOVIE;150000000;Action|Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1;public;2011
The Last Airbender ;;;01/01/2010;;MOVIE;150000000;Action|Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1;public;2010
Mission: Impossible III ;;;01/01/2006;;MOVIE;150000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1;public;2006
White House Down ;;;01/01/2013;;MOVIE;150000000;Action|Drama|Thriller;IMDB;http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1;public;2013
Mars Needs Moms ;;;01/01/2011;;MOVIE;150000000;Action|Adventure|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1;public;2011
Flushed Away ;;;01/01/2006;;MOVIE;149000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1;public;2006
Pan ;;;01/01/2015;;MOVIE;150000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1;public;2015
Mr. Peabody & Sherman ;;;01/01/2014;;MOVIE;145000000;Adventure|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1;public;2014
Troy ;;;01/01/2004;;MOVIE;175000000;Adventure;IMDB;http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1;public;2004
Madagascar 3: Europe's Most Wanted ;;;01/01/2012;;MOVIE;145000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1;public;2012
